facility_ID,facility_name,address,city,state,zip,county,hospital_type,hospital_ownership,hosp_overall_rating,census_region,census_division,median_age,per_white_non_hisp,med_inc_15plus_12mo,per_below_poverty,per_college_grad_deg_25_plus,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_CABG,MORT_30_COPD,MORT_30_HF,MORT_30_PN,MORT_30_STK,PSI_03,PSI_04,PSI_06,PSI_08,PSI_09,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,43.9,83.6,16875,29.8,12.1,,,,9.7,12.2,18.2,,0.44,,0.19,0.07,,,,,,,1.03,0.98
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,Acute Care Hospitals,Voluntary non-profit - Private,5,South,East South Central,42.5,63.2,25636,16,16.2,,12.8,,9.2,13,17.6,,0.25,,0.18,0.07,2.35,,,3.25,,0.8,1.01,0.94
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,40.2,46.1,20609,30.3,15.2,,,,,13.8,15.6,,0.38,,0.18,0.07,,,,,,,,0.99
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,43.9,86.4,23682,17.8,12.8,,,,8.9,,18.7,,0.43,,0.18,0.07,,,,,,,,0.99
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,Acute Care Hospitals,Government - Local,2,South,East South Central,39.9,71.4,30707,9.5,29.2,2.7,12.4,,8.5,11.4,17.7,18.1,0.05,153.62,0.16,0.05,2.55,1.22,14.15,4.17,4.49,1,0.76,1.14
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,41.2,67.5,24086,16.7,19.8,2,,,9.4,11.9,16.2,14.3,0.14,,0.21,0.07,2.27,1.27,9.68,4.07,3.58,0.77,0.95,1.04
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,Acute Care Hospitals,Proprietary,4,South,East South Central,46.3,82.9,26389,11.8,24,2.6,12.1,,9.2,10.1,16.8,14.8,0.1,144.26,0.2,0.06,2.17,0.85,6.25,4.22,3.62,1.05,0.87,0.93
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,37.5,51.5,24622,19.3,19.7,2.7,12.9,,8.1,12.3,19.7,15.6,1.62,156.62,0.17,0.06,2.53,,,4.31,,0.69,1.5,1.22
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,Acute Care Hospitals,Proprietary,3,South,East South Central,42.2,93.3,20996,17.6,13.4,,,,7.9,14.2,20.2,,0.38,,0.18,0.07,2.36,,,3.34,,0.79,1.02,0.97
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,Acute Care Hospitals,Government - State,3,South,East South Central,43.7,3.1,20650,25.6,16.8,,,,,11.4,18.6,14.1,0.62,135.42,0.17,0.14,1.96,0.76,4.29,5.25,3.98,0.68,0.75,0.99
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,Acute Care Hospitals,Voluntary non-profit - Private,3,South,East South Central,#N/A,#N/A,#N/A,#N/A,#N/A,2.1,,,8.4,12.9,21.7,16.5,2.51,,0.18,0.06,2.51,0.89,4.59,3.36,3.81,0.77,0.94,1.12
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,Acute Care Hospitals,Voluntary non-profit - Church,3,South,East South Central,34.5,58.1,27619,18.6,40.8,2.1,12.6,4.2,10.1,14.6,18.2,13.3,0.05,162.15,0.18,0.05,2.72,0.68,7.38,3.93,2.76,0.73,0.79,0.83
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,Acute Care Hospitals,Government - Hospital District or Authority,,South,East South Central,43.8,62.6,25919,21.3,12,,,,,,15,,0.56,,0.19,0.07,,,,,,,,
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,23.1,43.4,11576,36.6,26.9,2.1,13.3,2.4,11.2,13.5,16.4,16.5,0.56,153.04,0.22,0.08,1.76,,,4.68,,0.62,0.58,1.04
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,Acute Care Hospitals,Government - Hospital District or Authority,,South,East South Central,39.9,32.7,16120,26.8,15,,,,,,,,0.52,,0.19,0.07,,,,,,,,
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,Acute Care Hospitals,Proprietary,,South,East South Central,42.4,70.8,30085,12.5,21.2,,,,,,,,0.51,,0.19,0.07,,,,,,,,
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,40.1,69.5,23373,18.8,15,,,,9.6,12.5,15,,0.35,,0.18,0.07,2.37,,,3.36,,,1.03,0.97
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,Acute Care Hospitals,Voluntary non-profit - Private,3,South,East South Central,44.9,86.7,35982,6.1,49,2.4,12.6,2.4,9.5,12.5,19.9,12.5,0.53,138.1,0.26,0.05,2.22,0.89,8.02,4.43,2.92,0.72,0.81,0.98
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Private,4,South,East South Central,#N/A,#N/A,#N/A,#N/A,#N/A,,,,8.2,11.4,18.9,,0.29,,0.18,0.07,2.38,,,3.86,,,1.04,1.01
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,Acute Care Hospitals,Voluntary non-profit - Other,,South,East South Central,41.2,30,19710,28.2,14.1,,,,,,,,0.59,,0.19,0.07,,,,,,,,
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Church,3,South,East South Central,39.1,10.6,21429,26.2,21.7,2.9,14.6,2.2,8.6,11.7,15.7,16.2,0.83,132.7,0.19,0.05,2.44,1.69,7.72,5.4,5.31,0.71,0.76,1.23
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,Acute Care Hospitals,Proprietary,3,South,East South Central,38.9,89.7,55664,6.6,73,3,11.7,4.3,8.5,10,17.4,13.2,0.26,192.91,0.14,0.04,2.9,1.36,5.04,2.62,2.98,0.64,0.53,0.74
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,Acute Care Hospitals,Government - Hospital District or Authority,5,South,East South Central,38.5,70.4,25025,20,21.7,,,,8.1,10.1,14,10.8,0.24,,0.18,0.07,,,,,,,1.03,0.97
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,Acute Care Hospitals,Proprietary,,South,East South Central,39.9,19.5,20244,38.6,10.2,,,,,,,,0.55,,0.19,0.07,,,,,,,,
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,Acute Care Hospitals,Government - Hospital District or Authority,2,South,East South Central,42.6,45,25223,23.6,20.5,,,,,13.2,16.9,,0.35,,0.18,0.07,,,,,,,1.03,0.98
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,Acute Care Hospitals,Voluntary non-profit - Private,2,South,East South Central,41.6,33.7,21687,24.1,27.7,3,12.4,4,11.1,12.3,20.9,11.5,0.58,163.46,0.28,0.04,3.34,0.46,7.95,4.58,3.79,0.65,1.05,1.03
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,#N/A,#N/A,#N/A,#N/A,#N/A,,,,8.1,10.6,18.5,12.9,0.14,,0.18,0.16,2.45,0.87,4.18,4.3,5.1,0.76,0.92,0.99
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,Acute Care Hospitals,Proprietary,3,South,East South Central,37.5,29.3,22555,26.6,21.3,,,,8.3,10.9,20.4,14.7,0.1,,0.18,0.07,2.33,,,3.16,,0.79,1,0.9
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,43.2,41.4,19533,22.2,15.5,,,,,13.7,23.8,,0.48,,0.18,0.07,,,,,,,,0.99
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,Acute Care Hospitals,Voluntary non-profit - Church,5,South,East South Central,45.2,92,21900,18.3,10.5,,,,7.4,11.4,15.6,,0.39,,0.18,0.07,,,,,,,,
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,Acute Care Hospitals,Government - Federal,4,South,East South Central,25.5,51,19658,30.4,35.4,,,,7.3,11.5,17.4,,0.39,,0.18,0.07,2.37,,,3.33,,,,0.97
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,Acute Care Hospitals,Proprietary,,South,East South Central,43,45.8,20521,33.3,18.2,,,,,13.5,18.3,,0.53,,0.19,0.07,,,,,,,,
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,Acute Care Hospitals,Voluntary non-profit - Private,3,South,East South Central,39.2,72.3,23748,12.3,14.9,,,,,11.7,24.5,,0.39,,0.18,0.07,2.36,0.91,,3.81,,0.8,1.01,1
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,3,South,East South Central,41,91.9,27033,11.5,17.6,,,,9.4,13.6,19,13.2,0.33,,0.18,0.07,2.37,,,3.35,,,1.03,0.97
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,Acute Care Hospitals,Proprietary,3,South,East South Central,40,80.2,39308,9.9,52.5,2.8,12.8,,10.3,10.4,17.1,14.4,0.07,149.54,0.16,0.12,1.98,0.83,2.91,3.75,3.15,1.03,0.79,0.77
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,Acute Care Hospitals,Government - Hospital District or Authority,,South,East South Central,44,9.6,16578,25.9,13.6,,,,,,,,0.58,,0.19,0.07,,,,,,,,
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,Acute Care Hospitals,Proprietary,2,South,East South Central,30.5,67.7,37461,11.1,62.7,2.4,14,4.1,8.7,11.2,16.8,15,0.05,136.44,0.22,0.05,2.66,,,3.64,,0.72,0.77,0.92
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,Acute Care Hospitals,Proprietary,2,South,East South Central,34.5,58.1,27619,18.6,40.8,3,11.9,3.4,6.7,13.2,17.8,13.9,0.68,152.71,0.17,0.06,2.38,0.8,9.51,4.22,3.75,0.76,0.86,1.07
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,Acute Care Hospitals,Proprietary,2,South,East South Central,42.5,36,20966,20.2,12.3,,,,7.4,12.5,14.3,16.4,0.37,,0.18,0.07,,,,,,,1.04,0.99
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,3,South,East South Central,35.2,38.2,36450,10.5,46.9,,,,9.1,14,20.3,12.5,0.79,,0.18,0.15,2.22,0.87,6.37,3.23,4.08,0.74,0.82,0.98
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,Acute Care Hospitals,Proprietary,2,South,East South Central,39.8,47.2,21152,19.3,16.5,,,,7.6,11.9,20.8,,0.4,,0.18,0.07,2.37,0.91,9.47,3.35,,,,1.03
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,Acute Care Hospitals,Proprietary,3,South,East South Central,42.1,79.9,31732,5.5,22.2,,,,,,16.7,,0.49,,0.19,0.07,,,,,,,,0.99
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,Acute Care Hospitals,Proprietary,3,South,East South Central,35.7,53.6,22899,17.9,10.4,,,,8.8,11.4,25.9,,0.32,,0.18,0.07,2.33,,,3.25,,0.79,1.01,0.97
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,37.8,63.9,20430,27.7,13.3,2.2,,,8.3,11.1,18.1,13.3,0.19,,0.22,0.16,2.31,0.89,5.2,3.56,3.86,0.76,1.37,0.95
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,Acute Care Hospitals,Government - State,4,South,East South Central,35.6,50,25882,20.8,23.6,2.2,,,,,,,0.25,,0.18,0.06,3.25,0.83,2.35,2.99,3.83,0.8,1,0.81
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,Acute Care Hospitals,Government - Hospital District or Authority,4,South,East South Central,39.1,48.7,22120,26.1,10.2,,,,8.6,9.3,17.8,,0.43,,0.18,0.07,,,,,,,1.04,0.99
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,Acute Care Hospitals,Voluntary non-profit - Church,,South,East South Central,40.5,81.3,25925,19.1,16,,,,,,16.3,,0.53,,0.19,0.07,,,,,,,,1
10174,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,AL,36784,CLARKE,Acute Care Hospitals,Voluntary non-profit - Private,,South,East South Central,39,54.3,27214,16.3,10.7,,,,,,,,0.56,,0.19,0.07,,,,,,,,
10175,EAMC-LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,Acute Care Hospitals,Government - Hospital District or Authority,,South,East South Central,35.4,67.5,27603,11.9,18.2,,,,,,,,0.55,,0.19,0.07,,,,,,,,
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,Critical Access Hospitals,Government - Local,,South,East South Central,46.6,86.6,22117,17,12.3,,,,,,,,,,,,,,,,,,,
